"10","manque de moyens financiers","Quels sont vos besoins et difficultés ?","s001"
"10","manque de temps","Quels sont vos besoins et difficultés ?","s001"
"6","trop de charge de travail","Quels sont vos besoins et difficultés ?","s001"
"3","livraisons compliquées","Quels sont vos besoins et difficultés ?","s001"
"2","prix de vente trop bas","Quels sont vos besoins et difficultés ?","s001"
"6","trop de temps passé pour commercialiser","Quels sont vos besoins et difficultés ?","s001"
"8","l’impact sur votre vie familiale / vie de couple","Quels sont vos besoins et difficultés ?","s001"
"8","l’impossibilité de partir en vacances","Quels sont vos besoins et difficultés ?","s001"
"7","manque d'équipement","Quels sont vos besoins et difficultés ?","s001"
"3","manque de connaissances techniques","Quels sont vos besoins et difficultés ?","s001"
"8","la pénibilité de votre métier","Quels sont vos besoins et difficultés ?","s001"
"10","manque de main d’œuvre","Quels sont vos besoins et difficultés ?","s001"
"1","En espace test","Vous êtes","s002"
"8","En fermage et location pour vos bâtiments","Vous êtes","s002"
"10","Propriétaire du foncier","Vous êtes","s002"
"7","Propriétaire d’une grande partie et en fermage pour certaines parcelles","Vous êtes","s002"
"12","Hors cadre familial","Vous êtes installé","s003"
"9","Sur la ferme familiale","Vous êtes installé","s003"
"5","Formation sur le tas","Avez vous bénéficié","s004"
"2","D&amp","Avez vous bénéficié","s004"
"4","D'une reconversion","Avez vous bénéficié","s004"
"5","Aucune formation agricole","Avez vous bénéficié","s004"
"9","D’une formation agricole (BPREA, CAP, BEP, Bac Pro, DEUT...)","Avez vous bénéficié","s004"
"7","trop cher","Selon vous les produits avec label Bio sont ils vendus","s005"
"7","pas assez cher","Selon vous les produits avec label Bio sont ils vendus","s005"
"1","Vraiment pas assez cher","Selon vous les produits avec label Bio sont ils vendus","s005"
"1","Vraiment trop cher","Selon vous les produits avec label Bio sont ils vendus","s005"
"3","plutôt des gens aisés","Votre clientèle est selon vos observations plutôt","s006"
"1","constituée d’une majorité de personnes ayant des faibles revenus","Votre clientèle est selon vos observations plutôt","s006"
"18","Mixte (toutes les classes sociales sont présentes)","Votre clientèle est selon vos observations plutôt","s006"
"10","oui, parfois","Êtes vous en mesure de vous verser un salaire ?","s007"
"4","oui, tous les mois","Êtes vous en mesure de vous verser un salaire ?","s007"
"8","non, jamais","Êtes vous en mesure de vous verser un salaire ?","s007"
"4","trop dur","Pensez vous travailler","s009"
"6","trop d’heures","Pensez vous travailler","s009"
"6","trop d’heures et trop dur","Pensez vous travailler","s009"
"7","normalement comme la plupart des personnes","Pensez vous travailler","s009"
"17","Pas assez connu pour être reconnu à sa juste valeur","Considérez vous que votre travail est","s010"
"2","Dénigré systématiquement","Considérez vous que votre travail est","s010"
"5","Reconnu à sa juste valeur","Considérez vous que votre travail est","s010"
"15","le travail administratif vous demande trop de temps","Quelle est l’activité qui peut parfois vous peser ?","s012"
"1","Les livraisons vous demandent trop de temps","Quelle est l’activité qui peut parfois vous peser ?","s012"
"6","la commercialisation vous prend trop de temps","Quelle est l’activité qui peut parfois vous peser ?","s012"
"5","La production (trop pénible, pas assez outillé, ...) est compliquée","Quelle est l’activité qui peut parfois vous peser ?","s012"
"3","trop vétuste","Selon vous, estimez vous être suffisamment Équipé en outillage / mécanisation","s013"
"17","pas assez","Épaulé en cas d’imprévu, d’urgence, de catastrophe météorologique","s015"
"7","Mieux","Selon vous, vous pensez que si certains domaines de votre activité (commercialisation, livraisons, travail administratif...) pouvaient être géré différemment vous pourriez produire","s016"
"2","Aucune des trois réponses précédentes car vous êtes déjà au maximum de votre capacité de production","Selon vous, vous pensez que si certains domaines de votre activité (commercialisation, livraisons, travail administratif...) pouvaient être géré différemment vous pourriez produire","s016"
"5","Plus","Selon vous, vous pensez que si certains domaines de votre activité (commercialisation, livraisons, travail administratif...) pouvaient être géré différemment vous pourriez produire","s016"
"9","Autant mais bénéficier de quelque repos ou loisirs","Selon vous, vous pensez que si certains domaines de votre activité (commercialisation, livraisons, travail administratif...) pouvaient être géré différemment vous pourriez produire","s016"
"9","Calcul à partir du temps passé plus vos charges","Quels critères utilisez-vous pour fixer vos prix ?","s017"
"12","Prix de la concurrence locale","Quels critères utilisez-vous pour fixer vos prix ?","s017"
"9","Prix du marché (voir agrimer, ex. agrimer Bio et agrimer en gros) (Agrimer)","Quels critères utilisez-vous pour fixer vos prix ?","s017"
"7","un ou plusieurs aidants familiaux sur la partie exploitation","Vous avez recours à","s021"
"3","une aide administrative (professionnelle ou familiale)","Vous avez recours à","s021"
"3","Une aide pour la communication","Vous avez recours à","s021"
"1","Une CUMA","Vous avez recours à","s021"
"10","à un comptable","Faîtes vous appel à","s022"
"10","Vous vous chargez vous même de votre comptabilité","Faîtes vous appel à","s022"
"7","un centre de gestion agréé","Faîtes vous appel à","s022"
"2","au même prix que dans la grande distribution","Vos produits sont ils vendus","s023"
"5","vous ne savez pas","Vos produits sont ils vendus","s023"
"9","moins cher","Vos produits sont ils vendus","s023"
"7","plus cher","Vos produits sont ils vendus","s023"
"13","En association ou société","Vous êtes","s024"
"4","Cotisant principal","Vous êtes","s024"
"3","Cotisant solidaire","Vous êtes","s024"
"1","Au titre du suivi","Vous êtes","s024"
"20","Oui","vous aimeriez produire plus ?","s025"
"20","Non","vous aimeriez être plus proche de vos valeurs ?","s026"
